Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2001,PSE,DZA,State of Palestine,Algeria,REF,Alger,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005
2001,PSE,EGY,State of Palestine,Egypt,ASY,Cairo,U,U,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2001,PSE,EGY,State of Palestine,Egypt,REF,Cairo,U,U,0,7,0,23,5,0,35,0,5,0,84,10,0,99,134
2001,PSE,AUS,State of Palestine,Australia,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
2001,PSE,AUS,State of Palestine,Australia,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
2001,PSE,AZE,State of Palestine,Azerbaijan,ASY,Baku,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,PSE,AZE,State of Palestine,Azerbaijan,REF,Baku,U,U,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
2001,PSE,BEL,State of Palestine,Belgium,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,10,10,0,0,0,0,0,17,17,27
2001,PSE,BLR,State of Palestine,Belarus,REF,Vitebsk Region,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,PSE,BRA,State of Palestine,Brazil,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2001,PSE,BIH,State of Palestine,Bosnia and Herzegovina,ASY,Dispersed in the country / territory,C,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,PSE,CAN,State of Palestine,Canada,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
2001,PSE,CAN,State of Palestine,Canada,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2001,PSE,CHL,State of Palestine,Chile,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,PSE,CUB,State of Palestine,Cuba,REF,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2001,PSE,CYP,State of Palestine,Cyprus,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2001,PSE,CYP,State of Palestine,Cyprus,REF,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,PSE,DNK,State of Palestine,Denmark,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
2001,PSE,DNK,State of Palestine,Denmark,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2868
2001,PSE,ECU,State of Palestine,Ecuador,ASY,Quito,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,PSE,FRA,State of Palestine,France,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,24,24,0,0,0,0,0,54,54,78
2001,PSE,GRC,State of Palestine,Greece,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
2001,PSE,GRC,State of Palestine,Greece,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2001,PSE,HUN,State of Palestine,Hungary,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2001,PSE,HUN,State of Palestine,Hungary,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2001,PSE,CIV,State of Palestine,Côte d'Ivoire,REF,Abidjan,U,U,0,7,0,0,0,0,7,0,0,0,0,0,0,0,7
2001,PSE,IRL,State of Palestine,Ireland,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2001,PSE,IRQ,State of Palestine,Iraq,REF,Baghdad,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
2001,PSE,ITA,State of Palestine,Italy,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
